lon,price,year_available,rooms,elevator,lat,floors,area,census_tract_INE,barri_oficial,metres_cadastre,emissions_de_co2,qual_energia,has_education_within_500m,has_food_within_500m,has_health_within_500m,has_mobility_within_500m,has_public_service_within_500m,renda_med,renda_mediana,gini,p80_p20,pct_65_plus,pct_under18,pct_single_household,sector_oficial
2.824916,1287,2026,2.0,True,41.984325,1.0,80,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.820586,1735,2026,1.0,True,41.978459,1.0,73,1707902004,Eixample,65.0,47.64,F,1,1,1,1,1,32741.0,26950.0,33.9,3.1,23.6,16.6,36.4,Eixample Nord
2.820963,1100,2026,2.0,True,41.970637,4.0,75,1707902010,Eixample,58.0,56.65,E,1,1,1,1,1,26524.0,24150.0,26.2,2.2,15.4,16.0,34.1,Eixample Sud
2.818438,1400,2026,3.0,False,41.98007,0.0,120,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord
2.812528,1250,2026,3.0,True,41.965464,5.0,129,1707902022,Eixample,77.0,29.07,E,1,1,1,1,1,22795.0,21700.0,30.0,2.6,7.5,24.7,30.4,Eixample Sud
2.824916,1500,2026,2.0,False,41.984325,0.0,70,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.824916,1800,2026,2.0,False,41.984325,0.0,70,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.818438,1500,2026,3.0,True,41.98007,3.0,100,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord
2.824916,1150,2026,3.0,True,41.984325,5.0,90,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.82045,1150,2026,3.0,False,41.977527,0.0,65,1707902004,Eixample,65.0,47.64,F,1,1,1,1,1,32741.0,26950.0,33.9,3.1,23.6,16.6,36.4,Eixample Nord
2.821332,1050,2026,3.0,True,41.976658,4.0,59,1707902006,Eixample,121.0,37.44,E,1,1,1,1,1,27935.0,24850.0,31.6,2.9,19.9,15.2,34.6,Eixample Nord
2.824947,1200,2026,3.0,True,41.984754,3.0,75,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.819173,1130,2026,3.0,False,41.984809,1.0,110,1707903003,Eixample,93.0,40.69,E,1,1,1,1,1,29305.0,24850.0,33.8,3.1,14.0,16.8,34.9,Eixample Nord
2.818438,1500,2026,2.0,True,41.98007,2.0,60,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord
2.824916,690,2026,2.0,False,41.984325,1.0,65,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.824916,1600,2026,3.0,False,41.984325,3.0,62,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.809759,1290,2026,3.0,True,41.969428,2.0,97,1707903012,Eixample,60.0,40.66,F,1,1,1,1,0,17848.0,16450.0,28.5,2.6,15.6,18.5,19.8,Eixample Sud
2.817763,900,2026,1.0,True,41.970037,4.0,70,1707902021,Eixample,85.0,47.33,E,1,1,1,1,1,26810.0,23450.0,29.5,2.5,20.4,19.2,36.5,Eixample Sud
2.824236,990,2026,2.0,False,41.987702,1.0,80,1707904001,Centre,55.0,31.52,E,0,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.821806,1200,2026,2.0,False,41.97593,0.0,80,1707902006,Eixample,121.0,37.44,E,1,1,1,1,1,27935.0,24850.0,31.6,2.9,19.9,15.2,34.6,Eixample Nord
2.824881,1125,2026,3.0,True,41.975497,3.0,128,1707901003,Centre,125.0,74.7,G,1,1,1,1,1,27181.0,24150.0,30.1,2.3,17.5,15.3,34.3,Carme
2.818438,1200,2026,3.0,True,41.98007,5.0,94,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord
2.81618835212095,1145,2015,2.0,False,41.96831834614794,1.0,62,1707902011,Eixample,50.32,44.87,E,1,1,1,1,1,18387.0,17150.0,31.6,2.9,10.4,20.1,30.7,Eixample Sud
2.821103252802676,695,2015,2.0,True,41.970975172362095,4.0,67,1707902010,Eixample,49.74,17.8,D,1,1,1,1,1,20393.0,19250.0,29.0,2.5,11.4,22.8,31.3,Eixample Sud
2.812299762401602,755,2015,4.0,True,41.97679272113668,2.0,91,1707903016,Eixample,79.0,43.2,E,1,1,1,1,1,17367.0,15750.0,33.4,3.5,17.3,16.5,25.7,Eixample Nord
2.8198154942802613,755,2015,3.0,False,41.9849382463009,1.0,104,1707903003,Eixample,79.0,43.2,E,1,1,1,1,1,21953.0,18550.0,36.2,3.4,14.9,17.5,37.4,Eixample Nord
2.818296888203712,1945,2015,3.0,True,41.97997409863509,5.0,105,1707902002,Eixample,78.11,37.79,E,1,1,1,1,1,24226.0,20650.0,36.6,3.6,19.3,18.7,40.1,Eixample Nord
2.8206348259195315,2255,2015,2.0,True,41.97835853449101,1.0,84,1707902004,Eixample,79.0,43.2,E,1,1,1,1,1,23984.0,20650.0,34.6,3.2,22.8,15.4,30.5,Eixample Nord
2.8127156771181903,1215,2015,4.0,True,41.96551156190732,1.0,133,1707902022,Eixample,59.32,18.93,D,1,1,1,1,1,17679.0,16450.0,31.5,2.8,5.2,25.2,28.7,Eixample Sud
2.825305768489336,865,2015,2.0,True,41.98421155123378,1.0,67,1707904001,Centre,38.0,43.91,F,1,1,1,1,1,19189.0,15750.0,40.6,3.9,11.5,13.9,47.7,Barri Vell
2.8242998038730422,810,2015,1.0,False,41.986325092441234,2.0,44,1707904001,Centre,38.0,43.91,F,1,1,1,1,1,19189.0,15750.0,40.6,3.9,11.5,13.9,47.7,Barri Vell
2.824922555643657,1355,2015,3.0,False,41.984394802863406,3.0,58,1707904001,Centre,38.0,43.91,F,1,1,1,1,1,19189.0,15750.0,40.6,3.9,11.5,13.9,47.7,Barri Vell
2.8239391385639903,535,2015,2.0,False,41.98782632282998,0.0,70,1707904001,Centre,38.0,43.91,F,0,1,1,1,1,19189.0,15750.0,40.6,3.9,11.5,13.9,47.7,Barri Vell
2.8221257940692364,855,2015,2.0,True,41.97588776273408,1.0,83,1707902006,Eixample,79.0,43.2,E,1,1,1,1,1,23171.0,19950.0,35.3,3.4,22.4,18.8,33.0,Eixample Nord
2.825761378974074,1140,2015,3.0,True,41.98393920603009,2.0,108,1707901001,Centre,150.0,41.72,E,1,1,1,1,1,19430.0,15400.0,39.6,3.3,13.2,17.2,44.6,Barri Vell
2.818191583996233,1160,2015,3.0,True,41.98070854091973,2.0,94,1707902002,Eixample,78.11,37.79,E,1,1,1,1,1,24226.0,20650.0,36.6,3.6,19.3,18.7,40.1,Eixample Nord
2.8227338216604445,655,2015,3.0,False,41.970030563691374,1.0,100,1707902010,Eixample,49.74,17.8,D,1,1,1,1,1,20393.0,19250.0,29.0,2.5,11.4,22.8,31.3,Eixample Sud
2.821331408502167,1195,2015,2.0,True,41.98246999748408,1.0,68,1707903001,Centre,105.0,41.42,E,1,1,1,1,1,24048.0,20650.0,37.0,3.2,20.8,12.7,44.4,Mercadal
2.8139539703311667,935,2015,4.0,False,41.9790197267976,5.0,111,1707903015,Eixample,84.0,33.98,E,1,1,1,1,1,15650.0,13650.0,34.8,3.1,21.4,15.7,30.9,Eixample Nord
2.821473886295387,755,2015,1.0,True,41.97636843328767,2.0,67,1707902006,Eixample,79.0,43.2,E,1,1,1,1,1,23171.0,19950.0,35.3,3.4,22.4,18.8,33.0,Eixample Nord
